t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
9.9,2.4652568170352157e-09,2.5018058736194025e-09,2.5019090193855958e-09,1.25473792842769e-10,-1.3750096447047922e-10,2.087412605793516e-12,1.2191802338354299e-11
10.049999999999999,2.3424688812638874e-09,2.5015518190898562e-09,2.500811112745115e-09,5.8082081795117736e-11,4.2185150561110106e-10,1.828690917305788e-11,4.2059976379607754e-12
10.2,2.2450976185202907e-09,2.4974463623681997e-09,2.490061322881306e-09,-1.0528111485503893e-11,2.373602131712818e-10,-3.931053235514052e-12,6.49695793192731e-13
10.35,2.1842455328278992e-09,2.497289004634988e-09,2.4931071812154796e-09,-1.2721264376379172e-10,-2.0583063897068212e-10,-1.1861478074428826e-11,8.299996947316036e-12
10.5,2.1681290750686504e-09,2.5003309564544983e-09,2.49973382684685e-09,1.2996805456719068e-10,-2.4042976280018404e-10,2.166572762275144e-12,-1.4033527442018296e-11
10.65,2.186090879871427e-09,2.4973032966881316e-09,2.493144361199096e-09,-1.264836150213396e-10,-2.0462773538294054e-10,-3.6179550094388033e-12,-1.7614493538573888e-11
10.799999999999999,2.248068322259128e-09,2.4974730289144356e-09,2.490170962475638e-09,-1.043419615804098e-11,2.345939078118983e-10,-9.744508374628868e-13,1.3161308055342721e-11
10.95,2.3452146867844826e-09,2.5015201426999734e-09,2.5007877192252963e-09,5.7026650041674614e-11,4.144984672886838e-10,4.637036826770858e-12,3.787699608006392e-11
11.1,2.4660618955078946e-09,2.5017578750742783e-09,2.501852478356482e-09,1.225090514776493e-10,-1.3431483930239284e-10,1.6272672589598528e-11,1.0775612010001799e-11
11.25,2.5841288694021494e-09,2.497407450136567e-09,2.4880358307996465e-09,-1.2169178341095067e-10,-6.748119418191121e-10,-7.958819796825667e-12,-6.198225373166594e-11
11.4,2.678770226447668e-09,2.4949804456370434e-09,2.486686546879952e-09,-1.80779998674597e-10,4.344711741208378e-11,-1.7890727113258037e-11,-3.144164110241537e-11
11.549999999999999,2.7455989879155346e-09,2.500488062583893e-09,2.5027747555515973e-09,1.8362168255552505e-10,5.598706586905729e-10,1.0777868278451878e-11,6.323883191193969e-11
11.7,2.763409786183142e-09,2.5016473883961796e-09,2.505177589145203e-09,1.1715397170470443e-10,2.472147036469127e-10,1.5993818005746054e-11,6.404630299551043e-11
11.85,2.7266480487274187e-09,2.4976891276953796e-09,2.4888243742724047e-09,-1.632986275778898e-11,-5.126689210499211e-10,-3.793419749447252e-12,-4.658245822909685e-11
12.0,2.6411804445922707e-09,2.496935824882367e-09,2.4879324613711527e-09,-1.959200785682561e-10,-2.8349144610745065e-10,-2.2853094155401368e-11,-7.261175915827763e-11
12.15,2.5284113489872575e-09,2.4997065529300987e-09,2.5020883214343713e-09,9.376272829465071e-11,7.144549229096945e-10,1.10392404378569e-11,3.731818664920476e-11
12.299999999999999,2.4177404968152803e-09,2.5005635822303657e-09,2.501414675986243e-09,1.2041851626448206e-10,1.2864579398852008e-10,1.8177827373290937e-11,5.009793813510353e-11
12.45,2.317045102748407e-09,2.495902032223155e-09,2.4886702443979283e-09,-2.881961175440894e-10,-8.635953678144407e-10,-2.1112433202000036e-11,-2.8297959666763182e-11
12.6,2.238444895016689e-09,2.4979360985730367e-09,2.4919564684637655e-09,-4.3129662078463066e-11,2.005607124275418e-11,-9.36311810733501e-12,-3.357273383183618e-11
12.75,2.191642875180727e-09,2.504203451730438e-09,2.506816726762329e-09,3.6232178517023365e-10,9.575711820674624e-10,3.001259634135596e-11,5.3626641856326457e-11
12.9,2.1908004800198383e-09,2.5006450995402267e-09,2.498798564378206e-09,1.227780508959809e-10,5.501913936203084e-11,1.1301469865652997e-11,2.6627064930989415e-11
13.049999999999999,2.2378576618413056e-09,2.4948124073433347e-09,2.4850843073965204e-09,-3.9315764519814385e-10,-9.80291881605333e-10,-3.6759054997782304e-11,-7.809295011844511e-11
13.2,2.312691030353512e-09,2.4971677679293376e-09,2.4951663118962136e-09,-1.406306220498102e-10,-3.143118122148558e-10,-1.3787189878476172e-11,-2.7898573025231777e-11
13.35,2.4121372596795677e-09,2.502368010234155e-09,2.5072395610989175e-09,3.4908320522043335e-10,1.016922673518015e-09,3.6196384413681026e-11,8.647331825967967e-11
13.5,2.5222493004820414e-09,2.4995831974258375e-09,2.499298094200497e-09,-8.085554580736874e-11,4.2296769772263387e-10,5.1936098537419955e-12,5.0175084975678765e-11
13.65,2.634787179257618e-09,2.4963275479964187e-09,2.487685200523043e-09,-2.0771437449676598e-10,-1.0392826294130373e-09,-2.5164422012544973e-11,-8.714539949493855e-11
13.799999999999999,2.7219695542952695e-09,2.5007788867760085e-09,2.497191220348181e-09,4.522898950538906e-11,-3.0370347666369794e-10,4.94084576125857e-12,-5.262793994260694e-11
13.95,2.7629052428388196e-09,2.5025595210967096e-09,2.5052264882496138e-09,3.3506070566412767e-10,9.53231392805178e-10,3.2557907131465006e-11,8.146721099874698e-11
14.1,2.7520149709295143e-09,2.4974761067556204e-09,2.495274749308344e-09,-1.56353541120533e-10,1.93191491583325e-10,-1.329446100440348e-11,2.759351843061199e-11
14.25,2.6965363249184432e-09,2.495789082701753e-09,2.492333807222495e-09,-2.583536993122098e-10,-9.084498359587558e-10,-3.2256921899495475e-11,-6.013763509357318e-11
14.399999999999999,2.613852043400071e-09,2.501798783355154e-09,2.502537230762832e-09,1.4330572645333548e-10,-2.1450364063777714e-11,1.969842445203536e-11,3.291375587768093e-12
14.549999999999999,2.504358133600568e-09,2.5024990334627758e-09,2.504427795577146e-09,1.464065178407571e-10,7.796849151272823e-10,2.999198427412833e-11,5.617149516467497e-11
