t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
2.4,2.733182327864451e-09,2.5107433876570266e-09,2.5973576882374076e-09,1.6707623546768103e-10,-3.860383851182657e-11,-8.655131104653944e-11,-4.35704369376091e-11
2.55,2.7303349165558028e-09,2.4166933429885848e-09,2.5702819426581282e-09,-5.4354791767489895e-09,-2.592300393979715e-09,7.729445881868955e-11,4.2419475896814584e-11
2.6999999999999997,2.7282515181358787e-09,2.3908751973660845e-09,2.502475081882502e-09,-6.922777338157569e-09,-3.092206238364224e-09,1.7108623371412083e-10,7.436854663440165e-11
2.85,2.7262893823470582e-09,2.447579140413915e-09,2.6225532964279967e-09,-3.6898829145802074e-09,-7.199040928442605e-10,1.316795026125398e-10,4.34363756675265e-11
3.0,2.7237421921250162e-09,2.5405030702576352e-09,2.672116519163821e-09,1.6022320969631904e-09,1.4901375940780385e-09,-7.080216633233254e-12,2.5665427315273134e-11
3.15,2.7209439703896414e-09,2.598739767319006e-09,2.64717893141142e-09,4.9209560744245655e-09,2.144227648591805e-09,-1.459743018704376e-10,-3.584117546245343e-11
3.3,2.7179163422433865e-09,2.5842184738495853e-09,2.697454435942816e-09,4.085693676480597e-09,1.5390066971473957e-09,-1.8885276392257048e-10,-7.898783636492902e-11
3.4499999999999997,2.714743387599381e-09,2.51086258473606e-09,2.6725516796659074e-09,2.2933444670541628e-10,2.7500879843218766e-10,-9.126184854763282e-11,-2.135494943264594e-11
3.5999999999999996,2.711504468817705e-09,2.4313214299614805e-09,2.670475758890793e-09,-4.628658461405989e-09,-1.4317064890732983e-09,8.602800126112509e-11,3.41361577149298e-11
3.75,2.708699455882787e-09,2.3953012996622806e-09,2.669437237680192e-09,-6.690561896334939e-09,-2.6197847030037783e-09,2.1885587117284726e-10,7.903183350020086e-11
3.9,2.705789504517658e-09,2.4279217975365773e-09,2.6436927850044865e-09,-4.9727376364116626e-09,-1.4594644765256644e-09,2.1713376370465357e-10,7.646666702280055e-11
4.05,2.702884885855758e-09,2.5026934720804355e-09,2.7034696621152234e-09,-6.861239169659443e-10,9.563287657326778e-10,9.077302618585363e-11,1.9709640156778606e-11
4.2,2.699262511286369e-09,2.5643164439290814e-09,2.665486646927212e-09,2.9581553251875068e-09,2.1521504606931896e-09,-7.681497491053666e-11,-1.587956622988134e-11
4.35,2.695625227991476e-09,2.5716037053890846e-09,2.612554630944632e-09,3.5008996759326247e-09,1.3083443111296256e-09,-1.6636546525621656e-10,-2.947257922449841e-11
4.5,2.691913405735176e-09,2.5246255875764628e-09,2.6479059124262605e-09,8.296950573828493e-10,8.632051472962101e-11,-1.143574085587137e-10,-2.7884960750501156e-11
4.6499999999999995,2.6884305483110673e-09,2.4576047679219323e-09,2.5511687000779084e-09,-3.0663745723550555e-09,-9.484826953004857e-10,4.7872004584556414e-11,2.5454781590287547e-11
4.8,2.6849701060490524e-09,2.415851177947027e-09,2.510414127522528e-09,-5.560140233238845e-09,-1.668548175800601e-09,2.1785182005394564e-10,7.751329408352752e-11
4.95,2.6813696242564446e-09,2.426647813172204e-09,2.559926492041048e-09,-5.073716269388032e-09,-1.672427577155738e-09,2.8098881269140557e-10,9.489207835480264e-11
5.1,2.6776612613076947e-09,2.4817314041861666e-09,2.481490590881966e-09,-1.869741459177161e-09,1.4277521421719738e-10,1.9163481680890884e-10,6.803779899695001e-11
5.25,2.6736949964947585e-09,2.544778470743232e-09,2.4839174276625644e-09,1.710830904125004e-09,1.6950348549156194e-09,1.8305475782157606e-11,-1.4064605267953027e-11
